,City Name,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Narsaq,60.92,32.0,83,0,3.36
1,Opuwo,-18.06,55.35,37,0,2.71
2,Taltal,-25.4,55.76,75,0,5.08
3,Gravdal,68.12,52.81,81,88,10.4
4,Avarua,-21.21,78.8,69,4,21.92
5,Klaksvík,62.23,48.2,93,0,9.17
6,Caravelas,-17.71,74.95,86,0,10.29
7,Bilma,18.69,88.3,13,81,3.78
8,Lebu,-37.62,47.93,84,100,3.38
9,Mataura,-46.19,36.0,86,100,20.0
10,Arlit,18.74,93.6,13,68,5.73
11,Saldanha,-33.01,44.6,75,0,1.12
12,Jamestown,42.1,70.54,64,75,10.29
13,Castro,-24.79,62.87,90,0,1.07
14,Bandarbeyla,9.49,76.78,80,5,18.7
15,Chapleau,47.84,50.0,100,90,3.36
16,Ribeira,42.75,51.55,81,37,3.36
17,Richards,46.84,49.21,81,75,14.99
18,Santa,17.49,83.3,71,84,3.38
19,Marshall,34.38,60.03,93,90,10.29
20,Saint-Philippe,-21.36,63.09,68,35,6.93
21,Nurota,40.56,53.6,46,100,9.17
22,Kisangani,0.52,69.39,97,100,1.74
23,Ushuaia,-54.8,32.0,92,20,10.29
24,Barrow,71.29,30.2,80,90,14.99
25,Ostrovnoy,68.05,49.26,84,58,19.37
26,Enfield,-34.85,66.76,28,100,17.22
27,Lavrentiya,65.58,36.82,76,92,1.34
28,Atuona,-9.8,78.21,72,0,14.12
29,Vaini,-21.2,78.8,78,75,9.17
30,Sarany,58.5,41.72,99,74,2.68
31,Sao,20.51,68.31,91,0,5.68
32,Nanortalik,60.14,35.65,78,0,11.45
33,Rakovski,42.3,61.61,77,75,0.98
34,Samaná,19.21,75.2,100,40,6.53
35,Hamilton,39.18,55.71,87,90,3.98
36,Bredasdorp,-34.53,50.0,81,22,5.82
37,Zambezi,-13.54,70.02,50,25,5.82
38,Nushki,29.55,60.44,30,0,1.63
39,Cidreira,-30.18,59.63,78,0,8.55
40,Port,-7.03,75.09,64,100,4.09
41,Tasiilaq,65.61,30.2,100,100,1.12
42,Port,-7.03,75.6,64,100,2.24
43,Olafsvik,64.89,37.15,83,99,15.84
44,Provideniya,64.38,39.2,69,75,6.71
45,Sørland,67.67,52.86,84,66,14.41
46,Upernavik,72.79,25.32,91,67,7.27
47,Āsind,25.73,74.25,66,0,8.68
48,Åmot,59.57,54.0,90,100,1.54
49,Mwingi,-0.93,64.99,96,77,3.36
50,Arraial,-22.84,73.85,57,20,13.87
51,San,13.3,82.54,56,45,3.98
52,Punta,8.99,86.18,64,0,0.81
53,Tazovsky,67.47,35.31,87,100,12.08
54,Chui,-33.7,49.57,83,0,4.21
55,Ust-Tsilma,65.44,44.91,95,93,4.76
56,Taoudenni,22.68,91.58,12,0,6.51
57,Oranjestad,12.52,84.2,79,20,13.87
58,Tuktoyaktuk,69.45,35.6,93,90,9.17
59,Sao,20.51,68.16,89,36,6.11
60,Buta,2.79,67.95,98,98,1.3
61,Mezen',65.85,46.33,94,39,5.82
62,Ombessa,4.6,69.12,99,100,2.08
63,Honningsvåg,70.98,49.21,84,0,18.05
64,Mys,62.06,44.85,93,93,3.94
65,Vaitape,-16.52,79.09,78,6,19.17
66,Kutum,14.2,75.63,61,0,2.01
67,Mitsamiouli,-11.38,75.9,76,28,10.67
68,Kapaa,22.08,84.58,62,20,9.17
69,Keti,40.87,50.0,76,20,2.24
70,Novoanninskiy,50.53,48.2,50,79,9.28
71,Houma,29.6,69.66,88,75,12.75
72,Olinda,-8.01,80.6,74,75,10.29
73,Coquimbo,-29.95,55.4,82,40,8.05
74,Verāval,20.9,78.57,79,1,7.02
75,Mar,43.4,54.3,87,100,4.07
76,Harper,4.38,76.48,90,56,7.49
77,Mehamn,71.04,47.23,84,10,5.32
78,Hermanus,-34.42,48.0,94,57,8.08
79,Muli,2.92,82.15,76,91,9.62
80,Igaci,-9.54,68.81,96,11,6.76
81,College,64.86,50.04,54,75,0.98
82,Valparaíso,-33.04,51.8,87,75,6.93
83,Kahului,20.89,81.84,55,40,19.46
84,Cabo,-8.28,80.6,74,75,10.29
85,Hofn,64.25,44.55,77,8,4.12
86,Rikitea,-23.12,71.82,89,86,18.84
87,Ankazoabo,-22.28,68.34,58,0,6.49
88,Nizhnyaya,63.47,44.04,95,0,4.47
89,Pisco,-13.7,62.33,88,0,16.11
90,Longyearbyen,78.22,39.2,86,75,11.41
91,Bethel,41.37,66.61,88,1,6.93
92,Bur,56.37,54.0,93,32,5.97
93,Kudahuvadhoo,2.67,82.27,75,85,9.26
94,Lokoja,7.8,73.6,95,100,3.78
95,Ancud,-41.87,48.99,93,100,1.99
96,Codrington,-38.27,60.46,68,100,13.56
97,Lüderitz,-26.65,55.65,57,0,23.85
98,Hualmay,-11.1,61.72,83,87,5.84
99,Havøysund,71.0,46.4,87,83,5.82
100,Killybegs,54.63,42.01,95,99,7.29
101,Alofi,-19.06,82.4,69,75,11.41
102,Sabha,27.04,83.73,15,0,9.17
103,Beni,0.5,60.98,100,100,1.83
104,Vila,42.03,55.96,76,44,1.12
105,El Puerto de Santa María,36.59,63.73,52,54,6.93
106,Vilhena,-12.74,73.96,74,97,0.78
107,Inhambane,-23.86,72.43,89,76,3.22
108,Salmās,38.2,51.8,81,40,4.7
109,Hilo,19.73,79.93,66,1,11.41
110,Antalaha,-14.9,66.74,85,3,6.55
111,Sitka,57.05,55.4,71,75,8.05
112,Norman,35.22,62.82,33,1,9.17
113,Kalulushi,-12.84,65.97,39,23,4.76
114,Cabedelo,-6.98,75.2,94,40,5.82
115,Mwanza,-2.52,73.29,68,91,1.74
116,Garden,53.69,46.02,93,0,2.24
117,Viedma,-40.81,48.99,75,100,9.24
118,Atar,20.52,86.68,26,0,5.59
119,Yellowknife,62.46,52.95,58,20,9.17
120,Torbay,47.67,63.3,100,90,18.34
121,Thinadhoo,0.53,83.21,71,97,9.42
122,Alvdal,62.11,48.2,100,100,6.93
123,Riyadh,24.69,77.0,25,0,6.93
124,El Puerto de Santa María,36.59,63.73,52,60,6.93
125,Yurimaguas,-5.9,79.32,71,36,1.61
126,Alexandria,31.22,78.8,88,0,5.82
127,Clifton,40.86,71.35,73,20,10.29
128,Kizilskoye,52.73,45.97,88,0,5.57
129,Potsdam,52.4,52.74,85,55,2.39
130,Mzimba,-11.9,64.87,66,0,9.78
131,Brufut,13.38,77.0,100,20,8.25
132,Binga,-17.62,77.74,35,52,1.95
133,Merritt,50.11,68.0,60,1,3.36
134,Ponta,38.73,64.04,94,95,19.28
135,Médéa,36.26,57.2,93,20,3.36
136,Wesley,15.57,81.57,78,21,13.31
137,East,65.0,33.8,86,0,4.7
138,Pimenta,-20.48,79.21,30,64,0.22
139,Pesaro,43.9,52.03,87,1,3.36
140,Araouane,18.9,94.3,16,0,6.04
141,Mogadishu,2.04,77.47,86,45,12.39
142,Bereket,39.24,48.16,47,0,5.41
143,Marsh,53.65,53.6,92,31,3.33
144,Bambous,-20.26,72.32,88,40,9.17
145,Vestmannaeyjar,63.44,46.26,75,99,17.36
146,Roald,62.58,52.7,93,94,6.93
147,Dikson,73.51,39.49,93,100,25.66
148,Cape,-36.41,50.0,76,100,11.41
149,Hong Kong,22.29,81.12,83,96,1.99
150,Fortuna,40.6,78.04,47,1,6.93
151,Oddur,4.12,71.06,85,9,7.78
152,Nikki,9.94,71.65,92,100,5.41
153,Mana,5.66,79.23,82,5,13.31
154,Gönen,40.1,68.7,93,75,3.36
